"adult_cat","count_1","arts_cat","count_2","business_cat","count_3","comp_cat","count_4","games_cat","count_5","health_cat","count_6","home_cat","count_7","kids_teens_cat","count_8","news_cat","count_9","recre_cat","count_10","ref_cat","count_11","reg_cat","count_12","science_cat","count_13","shop_cat","count_14","soc_cat","count_15","sport_cat","count_16","world_cat","count_17"
"Adult",4540,"Arts",72483,"Business",162549,"Computers",48461,"Games",10194,"Health",24290,"Home",7479,"Kids and Teens",5509,"News",5189,"Recreation",52104,"Reference",26533,"Regional",702320,"Science",31894,"Shopping",45675,"Society",98966,"Sports",39679,"World",1292271
"Arts",880,"Animation",1574,"Accounting ",2257,"Algorithms ",50,"Board Games ",678,"Addictions ",1375,"Apartment Living ",20,"Arts ",503,"Alternative ",68,"Antiques ",491,"Almanacs ",22,"Africa ",8066,"Academic Departments ",1,"Antiques and Collectibles ",2498,"Activism ",368,"Adventure Racing ",83,"Afrikaans ",371
"Business",130,"Architecture",1198,"Aerospace and Defense ",1533,"Artificial Intelligence ",310,"Card Games ",389,"Aging ",30,"Consumer Information ",895,"Computers ",123,"Analysis and Opinion ",177,"Audio ",79,"Archives ",157,"Asia ",27813,"Agriculture ",1134,"Auctions ",206,"Advice ",30,"Airsoft ",40,"Arabic ",3512
"Computers",385,"Art History",265,"Agriculture and Forestry ",5074,"Artificial Life ",47,"Coin-Op ",265,"Alternative ",2979,"Cooking ",1567,"Directories ",21,"Breaking News ",61,"Autos ",3159,"Ask an Expert ",31,"Caribbean ",3089,"Anomalies and Alternative Science ",183,"By Region ",1,"Crime ",366,"Animal Sports ",3,"Aragonés ",21
"Death and Gore",10,"Awards",7,"Arts and Entertainment ",12231,"Bulletin Board Systems ",38,"Conventions ",122,"Beauty ",295,"Do-It-Yourself ",18,"Entertainment ",432,"By Category ",0,"Aviation ",2252,"Bibliography ",23,"Central America ",2178,"Astronomy ",1343,"Children ",666,"Death ",1445,"Archery ",16,"Armenian ",1020
"Games",31,"Bodyart",359,"Associations ",13,"CAD and CAM ",558,"Developers and Publishers ",23,"Child Health ",147,"Emergency Preparation ",22,"Games ",345,"By Region ",0,"Birding ",542,"Biography ",16,"Countries ",0,"Biology ",4689,"Classifieds ",282,"Disabled ",484,"Badminton ",164,"Asturianu ",31
"Image Galleries",974,"Chats and Forums",3,"Automotive ",2373,"Chats and Forums ",23,"Dice ",21,"Conditions and Diseases ",3842,"Entertaining ",19,"Health ",147,"By Subject ",0,"Boating ",1604,"Books ",3,"Europe ",203968,"By Region ",0,"Clothing ",3670,"Ethnicity ",1781,"Baseball ",693,"Azerbaijani ",888
"News",46,"Classical Studies",71,"Biotechnology and Pharmaceuticals ",1110,"Companies ",405,"Gambling ",1183,"Conferences ",0,"Family ",2100,"News ",6,"Chats and Forums ",6,"Camps ",766,"Dictionaries ",252,"Middle East ",6550,"Chats and Forums ",5,"Consumer Electronics ",2020,"Folklore ",109,"Basketball ",550,"Bahasa Indonesia ",1557
"Recreation",31,"Comics",1318,"Business and Society ",31,"Computer Science ",708,"Game Studies ",40,"Dentistry ",321,"Gardening ",1925,"People and Society ",1555,"Colleges and Universities ",602,"Climbing ",562,"Directories ",113,"North America ",407663,"Chemistry ",1239,"Crafts ",4711,"Future ",107,"Bocce ",8,"Bahasa Melayu ",195
"Regional",1043,"Contests",0,"Business Services ",13315,"Conferences ",0,"Hand-Eye Coordination ",13,"Directories ",8,"Home Improvement ",180,"Pre-School ",59,"Current Events ",60,"Collecting ",1989,"Education ",20569,"Oceania ",41031,"Directories ",16,"Death Care ",143,"Gay, Lesbian, and Bisexual ",1448,"Boomerang ",12,"Bangla ",23
"Shopping",609,"Costumes",12,"Chemicals ",3909,"Consultants ",954,"Hand Games ",1,"Education ",100,"Homemaking ",83,"School Time ",1253,"Directories ",19,"Directories ",1,"Encyclopedias ",49,"Polar Regions ",96,"Earth Sciences ",2446,"Directories ",13,"Genealogy ",1211,"Bowling ",366,"Bashkir ",68
"Society",401,"Crafts",3423,"Construction and Maintenance ",14582,"Data Communications ",617,"History ",1,"Fitness ",181,"Homeowners ",19,"Sports and Hobbies ",881,"Extended Coverage ",1,"Drugs ",60,"Flags ",20,"South America ",1866,"Educational Resources ",148,"Entertainment ",1686,"Government ",1143,"Boxing ",193,"Belarusian ",126
"None",0,"Cultures and Groups",0,"Consumer Goods and Services ",12540,"Data Formats ",608,"Miniatures ",340,"Home Health ",163,"Moving and Relocating ",16,"Teen Life ",144,"Headline Links ",55,"Food ",7143,"Journals ",9,"None",0,"Employment ",32,"Ethnic and Regional ",717,"History ",1602,"Cheerleading ",138,"Bosanski ",484
"None",0,"Design",584,"Cooperatives ",41,"Desktop Publishing ",55,"Online ",429,"Medicine ",6572,"News and Media ",22,"Your Family ",40,"Internet Broadcasts ",12,"Guns ",611,"Knots ",26,"None",0,"Environment ",3796,"Flowers ",732,"Holidays ",576,"College and University ",201,"Brezhoneg ",98
"None",0,"Digital",134,"Customer Service ",196,"Directories ",1,"Paper and Pencil ",3,"Men's Health ",51,"Personal Finance ",368,"None",0,"Journalism ",844,"Humor ",1077,"Knowledge Management ",479,"None",0,"Events ",25,"Food ",4783,"Issues ",5623,"Cricket ",685,"Bulgarian ",4080
"None",0,"Directories",87,"Directories ",26,"E-Books ",51,"Party Games ",55,"Mental Health ",2340,"Personal Organization ",112,"None",0,"Magazines and E-zines ",55,"Kites ",86,"Libraries ",1024,"None",0,"Instruments and Supplies ",1729,"General Merchandise ",571,"Law ",14277,"Croquet ",48,"Català ",9723
"None",0,"Education",828,"E-Commerce ",428,"Education ",363,"Play-By-Mail ",11,"News and Media ",68,"Rural Living ",103,"None",0,"Media Industry ",360,"Knives ",58,"Maps ",89,"None",0,"Math ",2103,"Gifts ",925,"Lifestyle Choices ",263,"Cue Sports ",87,"Chinese Simplified CN ",25543
"None",0,"Entertainment",234,"Education and Training ",747,"Emulators ",141,"Play Groups ",9,"Nursing ",477,"Software ",6,"None",0,"Museums and Archives ",13,"Living History ",760,"Museums ",3467,"None",0,"Methods and Techniques ",92,"Health ",3946,"Military ",630,"Cycling ",1764,"Chinese Traditional TW ",8143
"None",0,"Events",0,"Electronics and Electrical ",6614,"Ethics ",7,"Puzzles ",310,"Nutrition ",287,"Urban Living ",4,"None",0,"Newspapers ",2660,"Locks ",8,"Open Access Resources ",0,"None",0,"News and Media ",68,"Holidays ",443,"Organizations ",5993,"Darts ",168,"Cymraeg ",181
"None",0,"Genres",306,"Employment ",760,"FAQs, Help, and Tutorials ",44,"Resources ",7,"Occupational Health and Safety ",208,"Weblogs ",0,"None",0,"Personalized News ",9,"Models ",588,"Parliamentary Procedure ",13,"None",0,"Organizations ",94,"Home and Garden ",6259,"Paranormal ",1135,"Disabled ",141,"Dansk ",23689
"None",0,"Graphic Design",246,"Energy ",3223,"Graphics ",615,"Roleplaying ",552,"Organizations ",102,"None",0,"None",0,"Satire ",43,"Motorcycles ",1209,"Quotations ",121,"None",0,"People ",0,"Jewelry ",1629,"People ",6595,"Equestrian ",4674,"Deutsch ",366641
